Energy Usage Information,,
,,
,,
Meter Reading Information,,
Type of readings: Electricity,,
,,
Summary of Electric Power Usage Information*,,
"Your download will contain interval usage data that is currently available for your selected Service Account. Based on how our systems process and categorize usage data, your download may contain usage data of the following types: actual, estimated, validated or missing. ",,
,,
Detailed Usage,,
Start date: 2019-09-30 23:00:00  for 123 days,,
,,
Data for period starting: 2019-10-01 00:00:00  for 24 hours,,
Energy consumption time period,Usage(Real energy in kilowatt-hours),Reading quality
Energy consumption time period,Usage(Real energy in kilowatt-hours),Reading quality
2019-10-04 00:00:00 to 2019-10-04 01:00:00,1.433,
2019-10-04 01:00:00 to 2019-10-04 02:00:00,1.417,
2019-10-04 02:00:00 to 2019-10-04 03:00:00,1.85,
2019-10-04 03:00:00 to 2019-10-04 04:00:00,1.37,
2019-10-04 04:00:00 to 2019-10-04 05:00:00,1.407,
2019-10-04 05:00:00 to 2019-10-04 06:00:00,1.397,
2019-10-04 06:00:00 to 2019-10-04 07:00:00,1.797,
2019-10-04 07:00:00 to 2019-10-04 08:00:00,2.177,
2019-10-04 08:00:00 to 2019-10-04 09:00:00,1.57,
2019-10-04 09:00:00 to 2019-10-04 10:00:00,1.607,
2019-10-04 10:00:00 to 2019-10-04 11:00:00,2.067,
2019-10-04 11:00:00 to 2019-10-04 12:00:00,1.667,
2019-10-04 12:00:00 to 2019-10-04 13:00:00,1.42,
2019-10-04 13:00:00 to 2019-10-04 14:00:00,1.887,
2019-10-04 14:00:00 to 2019-10-04 15:00:00,1.617,
2019-10-04 15:00:00 to 2019-10-04 16:00:00,1.413,
2019-10-04 16:00:00 to 2019-10-04 17:00:00,1.393,
2019-10-04 17:00:00 to 2019-10-04 18:00:00,2.27,
2019-10-04 18:00:00 to 2019-10-04 19:00:00,2.627,
2019-10-04 19:00:00 to 2019-10-04 20:00:00,2.74,
2019-10-04 20:00:00 to 2019-10-04 21:00:00,3.34,
2019-10-04 21:00:00 to 2019-10-04 22:00:00,5,
2019-10-04 22:00:00 to 2019-10-04 23:00:00,3.953,
2019-10-04 23:00:00 to 2019-10-05 00:00:00,3.627,
,,
Data for period starting: 2019-10-05 00:00:00  for 24 hours,,
Energy consumption time period,Usage(Real energy in kilowatt-hours),Reading quality
2019-10-05 00:00:00 to 2019-10-05 01:00:00,2.803,
2019-10-05 01:00:00 to 2019-10-05 02:00:00,2.22,
2019-10-05 02:00:00 to 2019-10-05 03:00:00,1.27,
2019-10-05 03:00:00 to 2019-10-05 04:00:00,1.277,
2019-10-05 04:00:00 to 2019-10-05 05:00:00,1.257,
2019-10-05 05:00:00 to 2019-10-05 06:00:00,1.253,
2019-10-05 06:00:00 to 2019-10-05 07:00:00,1.273,
2019-10-05 07:00:00 to 2019-10-05 08:00:00,2.847,
2019-10-05 08:00:00 to 2019-10-05 09:00:00,1.537,
2019-10-05 09:00:00 to 2019-10-05 10:00:00,1.233,
2019-10-05 10:00:00 to 2019-10-05 11:00:00,2.267,
2019-10-05 11:00:00 to 2019-10-05 12:00:00,2.04,
2019-10-05 12:00:00 to 2019-10-05 13:00:00,2.09,
2019-10-05 13:00:00 to 2019-10-05 14:00:00,2.803,
2019-10-05 14:00:00 to 2019-10-05 15:00:00,3.46,
2019-10-05 15:00:00 to 2019-10-05 16:00:00,2.387,
2019-10-05 16:00:00 to 2019-10-05 17:00:00,2.23,
2019-10-05 17:00:00 to 2019-10-05 18:00:00,2.347,
2019-10-05 18:00:00 to 2019-10-05 19:00:00,3.553,
2019-10-05 19:00:00 to 2019-10-05 20:00:00,3.513,
2019-10-05 20:00:00 to 2019-10-05 21:00:00,3.02,
2019-10-05 21:00:00 to 2019-10-05 22:00:00,2.783,
2019-10-05 22:00:00 to 2019-10-05 23:00:00,3.097,
2019-10-05 23:00:00 to 2019-10-06 00:00:00,3.24,
,,
Data for period starting: 2019-10-06 00:00:00  for 24 hours,,
Energy consumption time period,Usage(Real energy in kilowatt-hours),Reading quality
2019-10-06 00:00:00 to 2019-10-06 01:00:00,2.813,
2019-10-06 01:00:00 to 2019-10-06 02:00:00,2.013,
2019-10-06 02:00:00 to 2019-10-06 03:00:00,1.34,
2019-10-06 03:00:00 to 2019-10-06 04:00:00,1.3,
2019-10-06 04:00:00 to 2019-10-06 05:00:00,1.303,
2019-10-06 05:00:00 to 2019-10-06 06:00:00,1.51,
2019-10-06 06:00:00 to 2019-10-06 07:00:00,1.67,
2019-10-06 07:00:00 to 2019-10-06 08:00:00,2.35,
2019-10-06 08:00:00 to 2019-10-06 09:00:00,2.037,
2019-10-06 09:00:00 to 2019-10-06 10:00:00,1.483,
2019-10-06 10:00:00 to 2019-10-06 11:00:00,1.273,
2019-10-06 11:00:00 to 2019-10-06 12:00:00,1.427,
2019-10-06 12:00:00 to 2019-10-06 13:00:00,1.8,
2019-10-06 13:00:00 to 2019-10-06 14:00:00,2.44,
